sep=\t
Module Resource Usage Distribution Estimates
Generated at: Sep 22, 2026 10:24:05

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
       +genblk1[2].genblk1.genblk1.inst_sysclk_rstn:reset_sub_f9db9b463f784e0ead4594b0b8e61d81(OUT_RST_ACTIVE="LOW",CYCLE=4)	       3(3)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[3].genblk1.genblk1.inst_sysclk_rstn:reset_sub_f9db9b463f784e0ead4594b0b8e61d81(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +rst_ctrl1:reset_ctrl_f9db9b463f784e0ead4594b0b8e61d81(CYCLE=4,IN_RST_ACTIVE=4'b0,OUT_RST_ACTIVE=4'b0)	       4(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_f9db9b463f784e0ead4594b0b8e61d81(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +fifo_ar:streamfifocc64_f9db9b463f784e0ead4594b0b8e61d81(DATA_WIDTH=32)	     54(26)	       0(0)	       8(8)	     87(83)	     0(0)	     2(2)	     0(0)	
       +popToPushGray_buffercc:buffercc_f9db9b463f784e0ead4594b0b8e61d81	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_f9db9b463f784e0ead4594b0b8e61d81	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
      +fifo_aw:streamfifocc64_f9db9b463f784e0ead4594b0b8e61d81(DATA_WIDTH=32)	     54(26)	       0(0)	       8(8)	     82(78)	     0(0)	     2(2)	     0(0)	
       +popToPushGray_buffercc:buffercc_f9db9b463f784e0ead4594b0b8e61d81	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_f9db9b463f784e0ead4594b0b8e61d81	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
      +fifo_wr:streamfifocc64_f9db9b463f784e0ead4594b0b8e61d81(DATA_WIDTH=144)	     54(26)	       0(0)	       8(8)	     52(49)	     0(0)	     8(8)	     0(0)	
       +popToPushGray_buffercc:buffercc_f9db9b463f784e0ead4594b0b8e61d81	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_f9db9b463f784e0ead4594b0b8e61d81	     14(14)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +fifo_rdpush:streamfifocc64_f9db9b463f784e0ead4594b0b8e61d81(DATA_WIDTH=1)	     54(26)	       0(0)	       8(8)	     44(37)	     0(0)	     0(0)	     0(0)	
       +popToPushGray_buffercc:buffercc_f9db9b463f784e0ead4594b0b8e61d81	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_f9db9b463f784e0ead4594b0b8e61d81	     14(14)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
      +fifo_rd:efx_fifo_top_f9db9b463f784e0ead4594b0b8e61d81(FAMILY="TITANIUM",BYPASS_RESET_SYNC=1,MODE="FWFT",DEPTH=64,DATA_WIDTH=128,OUTPUT_REG=1,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=33,PROG_FULL_NEGATE=33,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=2)	      71(0)	       0(0)	      27(0)	      95(0)	     0(0)	     7(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_f9db9b463f784e0ead4594b0b8e61d81(FAMILY="TITANIUM",WR_DEPTH=64,RD_DEPTH=64,WDATA_WIDTH=128,RDATA_WIDTH=128,WADDR_WIDTH=6,RADDR_WIDTH=6,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	     58(58)	     0(0)	     7(7)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_f9db9b463f784e0ead4594b0b8e61d81(SYNC_CLK=0,MODE="FWFT",WR_DEPTH=64,WADDR_WIDTH=6,RADDR_WIDTH=6,PROG_FULL_ASSERT=33,PROG_FULL_NEGATE=33,PROG_EMPTY_NEGATE=2,OUTPUT_REG=1,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	     71(43)	       0(0)	     27(27)	     37(13)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_addr_sync:efx_asyncreg_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=7,ACTIVE_LOW=0)	     14(14)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f9db9b463f784e0ead4594b0b8e61d81	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_addr_sync:efx_asyncreg_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=7,ACTIVE_LOW=0)	     14(14)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f9db9b463f784e0ead4594b0b8e61d81	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
